BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18	T01	T02	T03
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	5E-13	1E10	1E11	1E-30	5.25246082422585E-10	1E10	1E-30	1E10	0.820882433352223	1E-30	1.37347103896396E-11	0.733530709407677	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
2	5E-13	1E10	1E11	1E-30	5.25246082422585E-10	1E10	1E-30	1E10	0.820882433352223	1E-30	1.37347103896396E-11	0.733530709407677	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
3	5E-13	1E10	1E11	1E-30	5.25246082422585E-10	1E10	1E-30	1E10	0.820882433352223	1E-30	1.37347103896396E-11	0.733530709407677	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
4	5E-13	1E10	1E11	1E-30	5.25246082422585E-10	1E10	1E-30	1E10	0.820882433352223	1E-30	1.37347103896396E-11	0.733530709407677	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
5	1E-12	1E10	1E11	1E-30	5.00022157864255E-10	1E10	1E-30	1E10	0.573624909463897	7.57684120198507E-12	3.4217106998538E-11	15.5116053789337	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
6	1E-12	1E10	1E11	1E-30	5.00022157864255E-10	1E10	1E-30	1E10	0.573624909463897	7.57684120198507E-12	3.4217106998538E-11	15.5116053789337	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
7	1E-12	1E10	1E11	1E-30	5.00022157864255E-10	1E10	1E-30	1E10	0.573624909463897	7.57684120198507E-12	3.4217106998538E-11	15.5116053789337	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
8	1E-12	1E10	1E11	1E-30	5.28962348929706E-10	1E10	1E-30	1E10	0.361535751644615	1E-30	4.22124590322601E-11	0.227449880944553	2.44480291960533E-11	1.31403485657027E-11	1E5	2.61215981045762E-11	1.0064625418337E-11	1.58181616550283	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
9	1.2E-12	1E10	1E11	1E-30	5.07607156835754E-10	1E10	1E-30	1E10	0.482750954533918	1E-30	4.85748454195923E-12	0.222494421800601	8.29790372598524E-12	3.14975748123867E-11	12.8081533366365	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
10	1.2E-12	1E10	1E11	1E-30	5.07607156835754E-10	1E10	1E-30	1E10	0.482750954533918	1E-30	4.85748454195923E-12	0.222494421800601	8.29790372598524E-12	3.14975748123867E-11	12.8081533366365	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
11	1.2E-12	1E10	1E11	1E-30	5.07607156835754E-10	1E10	1E-30	1E10	0.482750954533918	1E-30	4.85748454195923E-12	0.222494421800601	8.29790372598524E-12	3.14975748123867E-11	12.8081533366365	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
12	1.2E-12	1E10	1E11	1E-30	5.07607156835754E-10	1E10	1E-30	1E10	0.482750954533918	1E-30	4.85748454195923E-12	0.222494421800601	8.29790372598524E-12	3.14975748123867E-11	12.8081533366365	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
13	1.5E-12	1E10	1E11	1E-30	4.35895756259676E-10	1E10	1E-30	1E10	0.442122900819728	4.28264665079066E-12	5.74899269387911E-11	25.1397123038374	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
14	1.5E-12	1E10	1E11	1E-30	4.35895756259676E-10	1E10	1E-30	1E10	0.442122900819728	4.28264665079066E-12	5.74899269387911E-11	25.1397123038374	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
15	1.5E-12	1E10	1E11	1E-30	4.35895756259676E-10	1E10	1E-30	1E10	0.442122900819728	4.28264665079066E-12	5.74899269387911E-11	25.1397123038374	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
16	1.5E-12	1E10	1E11	1E-30	4.35895756259676E-10	1E10	1E-30	1E10	0.442122900819728	4.28264665079066E-12	5.74899269387911E-11	25.1397123038374	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
17	1.5E-12	1E10	1E11	1E-30	4.35895756259676E-10	1E10	1E-30	1E10	0.442122900819728	4.28264665079066E-12	5.74899269387911E-11	25.1397123038374	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
18	1.8E-12	1E10	1E11	1E-30	3.96598440191495E-10	1E10	1E-30	1E10	0.416853081723952	1E-30	1.97543480705984E-12	6.54118326297725E-02	3.20943478015863E-12	8.80217267262138E-11	68.9634256469519	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
19	1.8E-12	1E10	1E11	1E-30	3.96598440191495E-10	1E10	1E-30	1E10	0.416853081723952	1E-30	1.97543480705984E-12	6.54118326297725E-02	3.20943478015863E-12	8.80217267262138E-11	68.9634256469519	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
20	1.8E-12	1E10	1E11	1E-30	3.96598440191495E-10	1E10	1E-30	1E10	0.416853081723952	1E-30	1.97543480705984E-12	6.54118326297725E-02	3.20943478015863E-12	8.80217267262138E-11	68.9634256469519	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
21	1.8E-12	1E10	1E11	1E-30	3.96598440191495E-10	1E10	1E-30	1E10	0.416853081723952	1E-30	1.97543480705984E-12	6.54118326297725E-02	3.20943478015863E-12	8.80217267262138E-11	68.9634256469519	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
22	2E-12	1E10	1E11	1E-30	3.41593732920812E-10	1E10	1E-30	1E10	0.364374944319593	2.20678365964425E-12	1.32778918365413E-10	101.599762965196	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
23	2E-12	1E10	1E11	1E-30	3.41593732920812E-10	1E10	1E-30	1E10	0.364374944319593	2.20678365964425E-12	1.32778918365413E-10	101.599762965196	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
24	2E-12	1E10	1E11	1E-30	3.41593732920812E-10	1E10	1E-30	1E10	0.364374944319593	2.20678365964425E-12	1.32778918365413E-10	101.599762965196	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
25	2E-12	1E10	1E11	1E-30	4.27287171631684E-10	1E10	1E-30	1E10	0.244689401090105	1E-30	3.13055257234574E-11	0.280531196051075	1.86199723482559E-11	1.52490999293272E-11	1.48706859574364	2.34261716245284E-12	1.05808368256428E-10	1E5	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
26	2.2E-12	1E10	1E11	1E-30	3.53972963975879E-10	1E10	1E-30	1E10	0.340403293008947	2.12171917699868E-12	1.34780881597625E-10	86.4897840227097	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
27	2.2E-12	1E10	1E11	1E-30	3.53972963975879E-10	1E10	1E-30	1E10	0.340403293008947	2.12171917699868E-12	1.34780881597625E-10	86.4897840227097	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
28	2.2E-12	1E10	1E11	1E-30	3.53972963975879E-10	1E10	1E-30	1E10	0.340403293008947	2.12171917699868E-12	1.34780881597625E-10	86.4897840227097	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
29	2.2E-12	1E10	1E11	1E-30	3.53972963975879E-10	1E10	1E-30	1E10	0.340403293008947	2.12171917699868E-12	1.34780881597625E-10	86.4897840227097	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
30	2.4E-12	1E10	1E11	1E-30	4.39801034355056E-10	1E10	1E-30	1E10	0.321687276460276	1E-30	3.99226021796946E-12	0.12926254586445	4.00938947445061E-12	7.75042436435428E-11	36.8883822436846	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
31	2.4E-12	1E10	1E11	1E-30	4.39801034355056E-10	1E10	1E-30	1E10	0.321687276460276	1E-30	3.99226021796946E-12	0.12926254586445	4.00938947445061E-12	7.75042436435428E-11	36.8883822436846	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
32	2.4E-12	1E10	1E11	1E-30	4.39801034355056E-10	1E10	1E-30	1E10	0.321687276460276	1E-30	3.99226021796946E-12	0.12926254586445	4.00938947445061E-12	7.75042436435428E-11	36.8883822436846	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
33	2.4E-12	1E10	1E11	1E-30	4.39801034355056E-10	1E10	1E-30	1E10	0.321687276460276	1E-30	3.99226021796946E-12	0.12926254586445	4.00938947445061E-12	7.75042436435428E-11	36.8883822436846	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
34	2.7E-12	1E10	1E11	1E-30	4.14294296915615E-10	1E10	1E-30	1E10	0.308294693856645	1E-30	3.05358533978658E-12	0.102539187270198	3.83926766914045E-12	7.8524296086447E-11	34.9034460352119	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
35	2.7E-12	1E10	1E11	1E-30	4.14294296915615E-10	1E10	1E-30	1E10	0.308294693856645	1E-30	3.05358533978658E-12	0.102539187270198	3.83926766914045E-12	7.8524296086447E-11	34.9034460352119	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
36	2.7E-12	1E10	1E11	1E-30	4.14294296915615E-10	1E10	1E-30	1E10	0.308294693856645	1E-30	3.05358533978658E-12	0.102539187270198	3.83926766914045E-12	7.8524296086447E-11	34.9034460352119	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
37	2.7E-12	1E10	1E11	1E-30	4.14294296915615E-10	1E10	1E-30	1E10	0.308294693856645	1E-30	3.05358533978658E-12	0.102539187270198	3.83926766914045E-12	7.8524296086447E-11	34.9034460352119	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
38	2.7E-12	1E10	1E11	1E-30	4.14294296915615E-10	1E10	1E-30	1E10	0.308294693856645	1E-30	3.05358533978658E-12	0.102539187270198	3.83926766914045E-12	7.8524296086447E-11	34.9034460352119	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
39	3E-12	1E10	1E11	1E-30	2.17976527147191E-10	1E10	1E-30	1E10	0.289556653981801	1.24655278656588E-12	2.53880212162819E-10	237.412276891702	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
40	3E-12	1E10	1E11	1E-30	2.17976527147191E-10	1E10	1E-30	1E10	0.289556653981801	1.24655278656588E-12	2.53880212162819E-10	237.412276891702	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
41	3E-12	1E10	1E11	1E-30	2.17976527147191E-10	1E10	1E-30	1E10	0.289556653981801	1.24655278656588E-12	2.53880212162819E-10	237.412276891702	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
42	3E-12	1E10	1E11	1E-30	2.17976527147191E-10	1E10	1E-30	1E10	0.289556653981801	1.24655278656588E-12	2.53880212162819E-10	237.412276891702	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
43	3E-12	1E10	1E11	1E-30	4.40267808257545E-10	1E10	1E-30	1E10	0.170227607640475	1E-30	1.64577591871762E-11	0.317543254860764	1E-30	3.15408392272527E-11	0.140699502034867	1.07731240893193E-11	2.79404232289049E-11	5.5076588989305	6.58238295660553E-12	4.50313466233917E-11	1E5	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
44	3.3E-12	1E10	1E11	1E-30	2.45435730610068E-10	1E10	1E-30	1E10	0.264271577242443	1E-30	1.79324286433941E-12	3.66347283440002E-02	1.80257269501765E-12	2.12067205315564E-10	179.170973422714	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
45	3.3E-12	1E10	1E11	1E-30	2.45435730610068E-10	1E10	1E-30	1E10	0.264271577242443	1E-30	1.79324286433941E-12	3.66347283440002E-02	1.80257269501765E-12	2.12067205315564E-10	179.170973422714	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.25	0.25
46	3.3E-12	1E10	1E11	1E-30	2.45435730610068E-10	1E10	1E-30	1E10	0.264271577242443	1E-30	1.79324286433941E-12	3.66347283440002E-02	1.80257269501765E-12	2.12067205315564E-10	179.170973422714	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
